Date,Close,Volume,Open,High,Low
11/1/2013,49.75,94776920,50.85,52.09,49.72
11/4/2013,48.22,80194620,49.37,49.75,48.02
11/5/2013,50.11,76659340,47.79,50.18,47.51
11/6/2013,49.12,67745300,50.26,50.45,48.71
11/7/2013,47.56,96906910,49.24,49.87,47.3
11/8/2013,47.53,70540080,47.81,48.65,47.25
11/11/2013,46.2,80718180,47.04,47.53,45.73
11/12/2013,46.61,68071910,46,47.37,45.83
11/13/2013,48.71,79082730,46.23,48.74,46.06
11/14/2013,48.99,75042140,48.7,49.57,48.03
11/15/2013,49.01,42394340,49.11,49.48,48.71
11/18/2013,45.83,85676080,48.47,48.84,45.8
11/19/2013,46.36,75452630,46.26,47,45.72
11/20/2013,46.43,53833880,46.61,47.55,46.31
11/21/2013,46.7,34821540,46.99,47.46,46.69
11/22/2013,46.23,40465250,47.04,47.27,45.96
11/25/2013,44.82,82469790,46.36,46.65,44.04
11/26/2013,45.89,81892990,44.66,46.17,43.55
11/27/2013,46.49,44887500,45.97,46.67,45.53
11/29/2013,47.01,22953920,46.75,47.21,46.5
12/2/2013,47.06,50674560,46.9,47.54,46.26
12/3/2013,46.73,31998810,46.75,47.2,46.29
12/4/2013,48.62,60306210,46.46,48.77,46.26
12/5/2013,48.34,43773340,48.15,48.7,47.87
12/6/2013,47.94,42877640,48.98,49.39,47.71
12/9/2013,48.84,35930850,48.09,48.97,47.74
12/10/2013,50.25,68301310,48.64,50.77,48.54
12/11/2013,49.38,62295230,50.55,50.77,49.01
12/12/2013,51.83,92467060,51.05,52.07,50.66
12/13/2013,53.32,82517560,51.66,53.5,51.34
12/16/2013,53.81,84971770,53.25,54.5,52.91
12/17/2013,54.86,78480680,54.76,55.18,54.24
12/18/2013,55.57,75831750,54.86,55.89,53.75
12/19/2013,55.05,89722000,54.33,55.19,53.95
12/20/2013,55.12,224195500,54.93,55.15,54.23
12/23/2013,57.77,98124560,55.5,58.32,55.45
12/24/2013,57.96,46617750,58.27,58.58,56.91
12/26/2013,57.73,55024630,58.32,58.38,57.37
12/27/2013,55.44,60251230,57.48,57.68,55.25
12/30/2013,53.71,68195850,54.93,55.18,53.43
12/31/2013,54.65,43069960,54.12,54.86,53.91
1/2/2014,54.71,43188990,54.83,55.22,54.19
1/3/2014,54.56,38244700,55.02,55.65,54.53
1/6/2014,57.2,68773580,54.42,57.26,54.05
1/7/2014,57.92,77201940,57.7,58.55,57.22
1/8/2014,58.23,56669280,57.6,58.41,57.23
1/9/2014,57.22,92236170,58.65,58.96,56.65
1/10/2014,57.94,42443990,57.13,58.3,57.06
1/13/2014,55.91,62888480,57.91,58.25,55.38
1/14/2014,57.74,37487240,56.46,57.78,56.1
1/15/2014,57.6,33655610,57.98,58.57,57.27
1/16/2014,57.19,34537020,57.26,58.02,56.83
1/17/2014,56.3,40845940,57.3,57.82,56.07
1/21/2014,58.51,48658930,56.6,58.58,56.5
1/22/2014,57.51,61349130,58.85,59.31,57.1
1/23/2014,56.63,47945860,56.37,56.68,55.69
1/24/2014,54.45,55410210,56.15,56.42,54.4
1/27/2014,53.55,73888900,54.73,54.94,51.85
1/28/2014,55.14,48182940,54.02,55.28,54
1/29/2014,53.53,89786860,54.61,54.95,53.19
1/30/2014,61.08,150128200,62.12,62.5,60.46
1/31/2014,62.57,87774330,60.47,63.37,60.17
2/3/2014,61.48,74852940,63.03,63.77,60.7
2/4/2014,62.75,45977670,62.05,63.14,61.82
2/5/2014,62.19,51553330,62.74,63.16,61.27
2/6/2014,62.16,42079800,61.46,62.78,61.46
2/7/2014,64.32,60762540,62.27,64.57,62.22
2/10/2014,63.55,43642880,64.3,64.49,63.47
2/11/2014,64.85,45657700,63.75,65,63.35
2/12/2014,64.45,47260370,64.92,65.06,64.05
2/13/2014,67.33,61883050,64.18,67.33,64.05
2/14/2014,67.09,36731220,67.5,67.58,66.72
2/18/2014,67.3,43798520,66.94,67.54,66.07
2/19/2014,68.06,60295610,67.05,69.08,67
2/20/2014,69.63,130880100,67.73,70.11,65.73
2/21/2014,68.59,70923530,69.69,69.96,68.45
2/24/2014,70.78,76735760,68.74,71.44,68.54
2/25/2014,69.85,52062710,70.95,71,69.45
2/26/2014,69.26,55302090,70.19,71.22,68.85
2/27/2014,68.94,41638450,69.34,70.01,68.87
2/28/2014,68.46,66738010,69.47,69.88,67.38
3/3/2014,67.41,56813110,66.96,68.05,66.51
3/4/2014,68.8,41996420,68.66,68.9,67.62
3/5/2014,71.57,74560670,69.69,71.97,69.62
3/6/2014,70.84,46023480,71.88,71.89,70.25
3/7/2014,69.8,38918700,71.08,71.18,69.47
3/10/2014,72.03,59853820,70.77,72.15,70.51
3/11/2014,70.1,59364950,72.5,72.59,69.96
3/12/2014,70.88,46332080,69.86,71.35,69
3/13/2014,68.83,56954770,71.29,71.35,68.15
3/14/2014,67.72,48095760,68.49,69.43,67.46
3/17/2014,68.74,52098860,68.18,68.95,66.62
3/18/2014,69.19,40731150,68.76,69.6,68.3
3/19/2014,68.24,43909250,69.17,69.29,67.47
3/20/2014,66.97,44344660,68.01,68.23,66.82
3/21/2014,67.24,59993420,67.53,67.92,66.18
3/24/2014,64.1,85551700,67.19,67.36,63.36
3/25/2014,64.89,68168890,64.89,66.19,63.78
3/26/2014,60.39,97436810,64.74,64.95,60.37
